	VO0801_TE_SIDE	Real	88.0	0.0	False	True	True	True	False		ВО8.1 - Температура воздуха
	VO0801_STATE	UInt	92.0	0	False	True	True	True	False		ВО8.1 - Температура ребра
	VO0801_LIQ_VALVE_OPENED	Bool	94.0	false	False	True	True	True	False		ВО8.1 - Состояние
	VO0801_SUC_VALVE_OPENED	Bool	94.1	false	False	True	True	True	False		ВО8.1 - Клапан подачи жидкости открыт
	VO0801_HG_VALVE_OPENED	Bool	94.2	false	False	True	True	True	False		ВО8.1 - Клапан отвода паро-жидкости открыт
	VO0801_DRAIN_VALVE_OPENED	Bool	94.3	false	False	True	True	True	False		ВО8.1 - Температура воздуха
	VO0901_TE_AIR	Real	96.0	0.0	False	True	True	True	False		ВО9.1 - Температура ребра
	VO0901_TE_SIDE	Real	100.0	0.0	False	True	True	True	False		ВО9.1 - Состояние
	VO0901_STATE	UInt	104.0	0	False	True	True	True	False		ВО9.1 - Клапан подачи жидкости открыт
	VO0901_LIQ_VALVE_OPENED	Bool	106.0	false	False	True	True	True	False		ВО9.1 - Клапан отвода паро-жидкости открыт
	VO0901_SUC_VALVE_OPENED	Bool	106.1	false	False	True	True	True	False		ВО9.1 - Температура воздуха
	VO0901_HG_VALVE_OPENED	Bool	106.2	false	False	True	True	True	False		ВО9.1 - Температура ребра
	VO0901_DRAIN_VALVE_OPENED	Bool	106.3	false	False	True	True	True	False		ВО9.1 - Состояние
	VO01001_TE_AIR	Real	108.0	0.0	False	True	True	True	False		ВО10.1 - Клапан подачи жидкости открыт
	VO01001_TE_SIDE	Real	112.0	0.0	False	True	True	True	False		ВО10.1 - Клапан отвода паро-жидкости открыт
	VO01001_STATE	UInt	116.0	0	False	True	True	True	False		ВО10.1 - Температура воздуха
	VO01001_LIQ_VALVE_OPENED	Bool	118.0	false	False	True	True	True	False		ВО10.1 - Температура ребра
	VO01001_SUC_VALVE_OPENED	Bool	118.1	false	False	True	True	True	False		ВО10.1 - Состояние
	VO01001_HG_VALVE_OPENED	Bool	118.2	false	False	True	True	True	False		ВО10.1 - Клапан подачи жидкости открыт
	VO01001_DRAIN_VALVE_OPENED	Bool	118.3	false	False	True	True	True	False		ВО10.1 - Клапан отвода паро-жидкости открыт
